t18a [H]C([H])(C(=O)[O-])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C(=O)C([H])([H])[C@]4([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C(=O)[C@@]21C([H])([H])[H]
t116j [H]C(=O)C([H])([H])C1([H])C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[S+]1[O-]
t116j [H]C(=O)C1([H])N2C(=O)C([H])(N([H])[H])C2([H])[S+]([O-])C1(C([H])([H])[H])C([H])([H])[H]
t116j [H]C(=O)[C@@]1(c2c([H])nc([H])c([H])c2[H])[S+]([O-])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
t72h [H]C1=C(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])[N+](C2([H])C([H])([H])C2([H])[H])=C1[H]
t72h [H]Oc1nc(N([H])[H])nc2c1N([H])C([H])=[N+]2C1([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C1([H])O[H]
t72h [H]C1=C([H])C([H])=C(C2([H])N([H])c3c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c3C(C([H])([H])[H])=[N+]2[O-])O1
t115h [H]C(=O)C(=O)C1([H])C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[S+]1[O-]
t115h [H]C(=O)C1([H])N2C(=O)C([H])(N([H])[H])C2([H])[S+]([O-])C1(C([H])([H])[H])C([H])([H])[H]
t115h [H]C(=O)[C@@]1(c2c([H])nc([H])c([H])c2[H])[S+]([O-])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
t165 [H]/C1=C(/[H])C#CC([H])(C([H])([H])[H])[C@@]2([H])N(OC([H])([H])[H])C(=O)[C@]2([H])C([H])([H])C#C1
t165 [H]OC(C#CC1([H])C([H])([H])C1([H])[H])(c1c([H])c(Cl)c([H])c([H])c1N([H])[H])C(F)(F)F
