checking coverage with
forcefield = input/tm.v2.offxml
dataset = ../projects/valence-fitting/02_curate-data/datasets/combined-td.json
finished loading collection after 0.3 s
finished to_records after 148.5 s
finished counting results after 186.1 s
187 / 225 (83.1%) tors ids covered:
t129      8 [*:1]-[#8X2r5:2]-;@[#7X2r5:3]~[*:4]
t130g     0 [*:1]~[#7X4:2]-[#7X4:3]~[*:4]
t130h     0 [*:1]~[#7X4:2]-[#7X3:3]~[*:4]
t130i     0 [*:1]~[#7X3:2]-[#7X4:3]~[*:4]
t130j     8 [*:1]~[#7X3:2]-[#7X3:3]~[*:4]
t131      7 [#1:1]-[#7X4,#7X3:2]-[#7X4,#7X3:3]-[#1:4]
t132g     0 [#6X4:1]-[#7X4:2]-[#7X4:3]-[#1:4]
t132h     0 [#6X4:1]-[#7X4:2]-[#7X3:3]-[#1:4]
t132i     0 [#6X4:1]-[#7X3:2]-[#7X4:3]-[#1:4]
t132j     7 [#6X4:1]-[#7X3:2]-[#7X3:3]-[#1:4]
t133g     0 [#6X4:1]-[#7X4:2]-[#7X4:3]-[#6X4:4]
t133h     0 [#6X4:1]-[#7X4:2]-[#7X3:3]-[#6X4:4]
t133i     5 [#6X4:1]-[#7X3:2]-[#7X4:3]-[#6X4:4]
t133j     3 [#6X4:1]-[#7X3:2]-[#7X3:3]-[#6X4:4]
t134      5 [*:1]-[#7X4,#7X3:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]
t135      7 [*:1]-[#7X3$(*-[#6X3,#6X2]):2]-[#7X3$(*-[#6X3,#6X2]):3]-[*:4]
t136     10 [*:1]-[#7X3$(*-[#6X3,#6X2])r5:2]-@[#7X3$(*-[#6X3,#6X2])r5:3]~[*:4]
t137      7 [*:1]@[#7X2:2]@[#7X2:3]@[#7X2,#6X3:4]
t138      8 [*:1]~[#7X2:2]-[#7X3:3]~[*:4]
t138a     0 [*:1]~[#7X2:2]-[#7X4:3]~[*:4]
t139      6 [*:1]=[#7X2:2]-[#7X2:3]=[*:4]
t140     13 [*:1]~[#7X2:2]=,:[#7X2:3]~[*:4]
t141      0 [*:1]~[#7X3+1:2]=,:[#7X2:3]~[*:4]
t141a     1 [*:1]~[#7x3:2]-[#7x3,#6x3:3]~[*:4]
t141b     0 [*:1]~[#7x2:2]-[#7x3:3]~[*:4]
t141c     0 [*:1]~[#6x3:2](~[#7,#8,#16])-[#6x3:3]~[*:4]
t142g     3 [*:1]-[#16X2:2]-[!#6;X2:3]~[*:4]
t142h     9 [*:1]-[#16X2:2]-[!#6;X3:3]~[*:4]
t142i     9 [*:1]-[#16X2:2]-[!#6;X4:3]~[*:4]
t142j     0 [*:1]-[#16X3+1:2]-[!#6;X2:3]~[*:4]
t142k     0 [*:1]-[#16X3+1:2]-[!#6;X3:3]~[*:4]
t142l     0 [*:1]-[#16X3+1:2]-[!#6;X4:3]~[*:4]
t143g     2 [*:1]~[#16X4:2]-[#7X2:3]~[*:4]
t143h     5 [*:1]~[#16X4:2]-[#7X3:3]~[*:4]
t143i     0 [*:1]~[#16X4:2]-[#7X4:3]~[*:4]
t143j     6 [*:1]~[#16X3+0:2]-[#7X2:3]~[*:4]
t143k     5 [*:1]~[#16X3+0:2]-[#7X3:3]~[*:4]
t143l     2 [*:1]~[#16X3+0:2]-[#7X4:3]~[*:4]
t144      5 [#6X4:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]
t145      4 [#6X3:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]
t146      8 [#6X4:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#6X4:4]
t147     11 [#6X3:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#6X4:4]
t148      4 [#8X1:1]~[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]
t149      2 [#8X1:1]~[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#6X4:4]
t150      5 [#6X3:1]-[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]
t151      9 [#6X4:1]-[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]
t152      4 [#8X1:1]~[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]
t153      7 [#8X1:1]~[#16X4,#16X3+0:2]-[#7X3:3]-[#7X2:4]
t154      7 [*:1]~[#16X4,#16X3+0:2]=,:[#7X2:3]-,:[*:4]
t155      5 [#6X4:1]-[#16X4,#16X3+0:2]-[#7X2:3]~[#6X3:4]
t156      4 [#8X1:1]~[#16X4,#16X3+0:2]-[#7X2:3]~[#6X3:4]
t157g    15 [*:1]~[#16X4:2]-[#8X2:3]-[*:4]
t157h    10 [*:1]~[#16X3+0:2]-[#8X2:3]-[*:4]
t158      4 [*:1]-[#16X2,#16X3+1:2]-[#16X2,#16X3+1:3]-[*:4]
t159      4 [*:1]-[#8X2:2]-[#15:3]~[*:4]
t160      7 [#8X2:1]-[#15:2]-[#8X2:3]-[#6X4:4]
t161      6 [*:1]~[#7:2]-[#15:3]~[*:4]
t162      2 [*:1]-[#7:2]-[#15:3]=[*:4]
t163      8 [#6X3:1]-[#7:2]-[#15:3]=[*:4]
t164      1 [*:1]~[#7:2]=[#15:3]~[*:4]
t165      0 [*:1]-[*:2]#[*:3]-[*:4]
t166      0 [*:1]~[*:2]-[*:3]#[*:4]
t167      0 [*:1]~[*:2]=[#6,#7,#16,#15;X2:3]=[*:4]

missing ids:
    0   t18a   [*:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
    1   t18b   [*:1]-[#6X4:2]-[#6X3:3](~!@[#7X3])~!@[#7X3:4]
    2   t59g   [#1:1]-[#7X4:2]-[#6X4;r3:3]-[*:4]
    3   t60g   [#1:1]-[#7X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
    4   t61g   [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[*:4]
    5   t62g   [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
    6   t72h   [#6X3:1]=[#7X3+1:2]-[#6X4:3]-[#6X3,#6X4:4]
    7   t83h   [*:1]=[#7X3+1:2]-[#6X3:3]=,:[*:4]
    8   t87a   [*:1]-[#7X3:2]~!@[#6X3:3](~!@[#7X3])~!@[#7X3:4]
    9    t88   [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#7X3:4]
   10    t89   [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#16X2,#16X3+1:4]
   11   t101   [#6X3:1]-[#8X2:2]-[#6X4;r3:3]-[#1:4]
   12  t115h   [*:1]-[#16X3+1:2]-[#6:3]~[*:4]
   13  t116i   [*:1]-[#16X3+1:2]-[#6X3:3]-[#1:4]
   14  t116j   [*:1]-[#16X3+1:2]-[#6X4:3]-[#1:4]
   15  t118h   [*:1]~[#16X3!+1:2]-[#6X4:3]-[*:4]
   16  t119h   [#6X4:1]-[#16X3+0:2]-[#6X4:3]-[#1:4]
   17  t120h   [#6X4:1]-[#16X3+0:2]-[#6X4:3]~[#6X4:4]
   18   t123   [*:1]~[#15:2]-[#6:3]-[*:4]
   19  t130g   [*:1]~[#7X4:2]-[#7X4:3]~[*:4]
   20  t130h   [*:1]~[#7X4:2]-[#7X3:3]~[*:4]
   21  t130i   [*:1]~[#7X3:2]-[#7X4:3]~[*:4]
   22  t132g   [#6X4:1]-[#7X4:2]-[#7X4:3]-[#1:4]
   23  t132h   [#6X4:1]-[#7X4:2]-[#7X3:3]-[#1:4]
   24  t132i   [#6X4:1]-[#7X3:2]-[#7X4:3]-[#1:4]
   25  t133g   [#6X4:1]-[#7X4:2]-[#7X4:3]-[#6X4:4]
   26  t133h   [#6X4:1]-[#7X4:2]-[#7X3:3]-[#6X4:4]
   27  t138a   [*:1]~[#7X2:2]-[#7X4:3]~[*:4]
   28   t141   [*:1]~[#7X3+1:2]=,:[#7X2:3]~[*:4]
   29  t141b   [*:1]~[#7x2:2]-[#7x3:3]~[*:4]
   30  t141c   [*:1]~[#6x3:2](~[#7,#8,#16])-[#6x3:3]~[*:4]
   31  t142j   [*:1]-[#16X3+1:2]-[!#6;X2:3]~[*:4]
   32  t142k   [*:1]-[#16X3+1:2]-[!#6;X3:3]~[*:4]
   33  t142l   [*:1]-[#16X3+1:2]-[!#6;X4:3]~[*:4]
   34  t143i   [*:1]~[#16X4:2]-[#7X4:3]~[*:4]
   35   t165   [*:1]-[*:2]#[*:3]-[*:4]
   36   t166   [*:1]~[*:2]-[*:3]#[*:4]
   37   t167   [*:1]~[*:2]=[#6,#7,#16,#15;X2:3]=[*:4]
finished after 186.1 s
